epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.054,1.99143,8.89122,1.90837,0.01969,0.27241,0.02751,0.00907,0.27989,0.70534,0.26512,0.0033256,0.0033256,0.0033256
2,273.29,1.92146,3.78042,1.7438,0.00959,0.45022,0.02322,0.0069,0.31977,0.81734,0.32693,0.00659301,0.00659301,0.00659301
3,403.979,2.19539,4.03834,1.95756,0.00022,0.02016,0.00013,4e-05,0.38974,0.66232,0.36831,0.00979442,0.00979442,0.00979442
4,535.059,2.34675,4.01993,2.14794,0.50099,0.39919,0.02131,0.0068,0.2807,41.5109,0.29855,0.009703,0.009703,0.009703
5,666.101,2.32936,3.94012,2.11145,0.00086,0.03831,0.00142,0.00029,0.32555,0.94962,0.3169,0.009604,0.009604,0.009604
6,796.167,2.30963,3.74538,2.06733,0.00794,0.73096,0.06676,0.02004,0.27062,1.67044,0.28213,0.009505,0.009505,0.009505
7,927.935,2.20479,3.64077,2.05321,0.05197,0.13359,0.04552,0.01709,0.27659,0.61814,0.27807,0.009406,0.009406,0.009406
8,1056.79,2.13722,3.5725,1.93793,0.04158,0.27766,0.06625,0.02432,0.29986,0.53833,0.29801,0.009307,0.009307,0.009307
9,1186.82,2.08545,3.50054,1.95081,0.02764,0.52965,0.07752,0.0303,0.24567,0.57749,0.25465,0.009208,0.009208,0.009208
10,1319.19,2.07865,3.40625,1.92574,0.13387,0.15121,0.12247,0.0387,0.24902,3.63613,0.26122,0.009109,0.009109,0.009109
11,1449.71,2.05118,3.30361,1.9353,0.63566,0.13306,0.12749,0.04644,0.24807,0.8769,0.25882,0.00901,0.00901,0.00901
12,1581.86,2.0392,3.21731,1.857,0.04359,0.38908,0.08948,0.0333,0.25794,0.72074,0.26546,0.008911,0.008911,0.008911
13,1711.1,1.93764,3.12451,1.78408,0.29599,0.14538,0.10437,0.04397,0.25019,0.57986,0.25505,0.008812,0.008812,0.008812
14,1841.68,1.92678,3.12466,1.78803,0.63151,0.19556,0.15127,0.05556,0.2325,2.37753,0.24743,0.008713,0.008713,0.008713
15,1973.33,1.99917,3.12738,1.85361,0.03409,0.5779,0.13394,0.04429,0.25736,0.57137,0.26207,0.008614,0.008614,0.008614
