epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9518,2.08884,8.42826,2.07998,0.00027,0.5201,0.01113,0.00313,0.35031,80.9862,0.37803,0.00331915,0.00331915,0.00331915
2,117.678,2.0353,4.51743,1.82255,0.02751,0.09582,0.00655,0.00137,0.35175,90.2887,0.35422,0.00658662,0.00658662,0.00658662
3,158.583,2.13859,3.77234,1.94198,0.02281,0.12269,0.01263,0.00265,0.44799,42.6657,0.40811,0.0097881,0.0097881,0.0097881
4,199.693,2.23629,3.4807,2.05555,0.01204,0.41512,0.01285,0.00385,0.37087,134.805,0.3803,0.009703,0.009703,0.009703
5,240.648,2.20287,3.34842,2.10719,0.0254,0.69104,0.07257,0.02187,0.30967,92.1655,0.30945,0.009604,0.009604,0.009604
6,282.963,2.10841,3.08473,1.99683,0.03561,0.47548,0.04317,0.01244,0.30948,66.7031,0.3054,0.009505,0.009505,0.009505
7,324.021,2.07955,2.99044,1.9503,0.02174,0.42332,0.03646,0.01188,0.34382,1.13294,0.3379,0.009406,0.009406,0.009406
8,366.592,2.03609,2.88913,1.90759,0.08855,0.50357,0.12133,0.04169,0.3149,11.6203,0.28527,0.009307,0.009307,0.009307
9,403.052,1.98584,2.83529,1.88776,0.18543,0.20578,0.13155,0.04616,0.33388,11.7122,0.31076,0.009208,0.009208,0.009208
10,439.656,1.9778,2.72589,1.84686,0.07088,0.07258,0.03464,0.00664,0.34572,92.5181,0.34828,0.009109,0.009109,0.009109
11,475.943,1.92708,2.67912,1.8006,0.11557,0.59535,0.12961,0.04249,0.27739,49.8181,0.2733,0.00901,0.00901,0.00901
12,512.166,1.93823,2.65114,1.80337,0.21689,0.31252,0.23415,0.08715,0.28857,9.30446,0.26903,0.008911,0.008911,0.008911
13,547.621,1.89986,2.58009,1.79524,0.25032,0.30321,0.22217,0.08642,0.2785,4.42648,0.26324,0.008812,0.008812,0.008812
14,583.838,1.90311,2.51879,1.75584,0.17527,0.30738,0.16678,0.0615,0.30051,14.9055,0.27291,0.008713,0.008713,0.008713
15,619.671,1.85298,2.39972,1.75062,0.24591,0.35788,0.19495,0.07984,0.29937,3.60459,0.26614,0.008614,0.008614,0.008614
16,655.493,1.86173,2.35888,1.73157,0.20473,0.39434,0.21808,0.0893,0.27749,15.0366,0.26074,0.008515,0.008515,0.008515
17,691.139,1.84512,2.33379,1.73324,0.21799,0.29905,0.22153,0.09114,0.28796,4.38221,0.26533,0.008416,0.008416,0.008416
18,727.361,1.84043,2.31834,1.73353,0.26274,0.34634,0.24262,0.09385,0.28358,8.50229,0.263,0.008317,0.008317,0.008317
19,763.446,1.8164,2.28795,1.68857,0.26365,0.38502,0.24394,0.09093,0.29125,7.99389,0.26829,0.008218,0.008218,0.008218
